vui,1,뷔,950101-1,서울,blank.png,vui@test.com,010-1234-6645,2020-02-01
sugar,1,슈가,940101-1,서울,blank.png,sugar@test.com,010-7734-5545,2020-02-02
jay,1,제이홉,950101-1,서울,blank.png,jay@test.com,010-1234-5545,2020-02-03
jkook,1,정국,970101-1,서울,blank.png,jkook@test.com,010-9434-5545,2020-02-04
jin,1,진,980101-1,부산,blank.png,jin@test.com,010-1234-7245,2020-02-05
jimin,1,지민,930101-1,인천,blank.png,jimin@test.com,010-8834-5545,2020-01-04
rm,1,랩몬,920101-1,서울,blank.png,rm@test.com,010-1234-1245,2020-01-02
su,1,수윤,010317-4,서울,blank.png,su@hanmail.net,010-1111-1111,2020-05-05
hee,1,연희,001206-4,부산,blank.png,hee@hanmail.net,010-2222-2222,2020-05-01
juri,1,쥬리,971003-2,인천,blank.png,juri@hanmail.net,010-3333-3333,2020-05-12
sohee,1,소희,030817-6,북한,blank.png,sohee@hanmail.net,010-4444-4444,2020-05-18 
yk,1,윤경,011101-4,일본,blank.png,yk@hanmail.net,010-5555-5555,2020-05-22 
d_c,1,덕철,880313-1,강원도,blank.png,d_c@hanmail.net,010-6666-6666,2020-08-04 
